Health	health	
 Muscular Dystrophy Association, New York, Suffolk County 	www.mda.org	 Fighting neuromuscular diseases through worldwide research, a nationwide network of clinics offering comprehensive medical services, and far-reaching professional and public health education.  
 Muscular Dystrophy Association, New York, Western NY District 	www.mdausa.org	 Fighting 40 neuromuscular diseases through worldwide research, a nationwide network of clinics providing comprehensive medical services and far-reaching professional and public health education. 
 Myasthenia Gravis (Alliance) Foundation of America, New York 	www.mgdirect.org	 Empowers members, through programs educating patients and health professionals, support groups, literature, financial and medical assistance and more, while researching a cure. 
 Myasthenia Gravis Foundation of America, New York 	www.myasthenia.org	 Seeks to facilitate the diagnosis and care of MG patients through programs of patient services, public information, medical research, professional education and advocacy. 
 Myasthenia Gravis Foundation of America, New York, Delmar 	www.myasthenia-gravis.com	 Provides a monthly support group, quarterly newsletter, pamphlets and brochures for all aspects of living with MG, a rare incurable neuromuscular autoimmune disease. 
 NAMI (National Alliance on Mental Illness), New York 	www.nami.org	 A grass-roots support, education and advocacy organization dedicated to improving the lives of people affected by severe mental illnesses and their families.  
 National Alliance on Mental Illness of New York City Metro, Inc. 	http://www.naminycmetro.org/	 The National Alliance on Mental Illness of New York City (NAMI-NYC Metro) is a support, education, and advocacy organization for the mental health community. We serve families and individuals whose lives are affected by mental illness. Whether you have a family member with schizophrenia or are coping with depression, we have a program for you. All programs and services are free of charge. 
 National Council on Alcoholism & Drug Dependence (NCADD), New York 	www.ncadd.org	 Provides education, information, help and hope in the fight against the chronic, often fatal disease of alcoholism and other drug addictions. 
 National Headache Foundation, New York 	www.headaches.org	 Your #1 source for headache help - vital information, newsletter, support groups, and research on causes and treatments for headache sufferers, their families and healthcare professionals.  
 National Hemophilia Foundation, New York 	www.hemophilia.org	 Dedicated to finding cures for bleeding disorders and to preventing and treating their complications through education, advocacy and research.  
 National Hemophilia Foundation, New York, Mary M. Gooley Hemophilia Center 	www.hemocenter.org	 NYS Diagnostic & Treatment Center and National Hemophilia Foundation Chapter providing education, treatment, advocacy, research to people affected by hemophilia and other inherited disorders. 
 National Kidney Foundation of New York, Central NY 	www.cnykidney.org	 A voluntary health agency, whose activities include health screening, public-professional education, research and fundraising events serving 13 CNY counties. 
 National Kidney Foundation of New York, Greater NY 	www.kidneygny.org	 Fights kidney disease through health screenings, education, advocacy, patient services. 
 National Kidney Foundation of New York, Northeast NY 	www.nkfneny.org	 Provides patient services, community health screenings, public/professional education, legislative advocacy, research & organ donor awareness to prevent, treat and cure kidney & urologic diseases. 
 National Kidney Foundation of New York, Upstate NY 	www.kidneynyup.org	 Provides free kidney screenings, patient services, public/professional education on prevention and detection of kidney disease, funds local research.  Passionately promotes kidney and organ transplantation. 
 National Kidney Foundation of New York, Western NY 	www.nkfofwny.org	Dedicated to improving the lives of those impacted by the devastation of kidney and urinary tract diseases and to increasing availability of organs for transplantation.
 National Multiple Sclerosis Society, New York, NY City Chapter 	www.msnyc.org	 Provides comprehensive programs and services for 10,000 people living with MS and 47,500 associated relatives and caregivers.  Funds research to find a cure for MS. 
 National Multiple Sclerosis Society, New York, Southern NY Chapter 	www.nyv.nationalmssociety.org	 Provides comprehensive programs and services for 10,000 people living with MS and 47,500 associated relatives and caregivers.  Funds research to find a cure for MS. 
 National Multiple Sclerosis Society, New York, Upstate NY Chapter 	www.msupstateny.org	 Provides education, consultations, advocacy, health and wellness, recreation and coaching strategies for disease and life management.
 
 National Multiple Sclerosis Society, New York, Upstate NY Chapter, CNY Office 	www.msupstateny.org	 Provides education, consultations, advocacy, health and wellness, recreation and coaching strategies for disease and life management.
 
 National Multiple Sclerosis Society, New York, Upstate NY Chapter, NENY Division 	www.msupstateny.org	 Provides education, consultations, advocacy, health and wellness, recreation and coaching strategies for disease and life management. 
 National Multiple Sclerosis Society, New York, Upstate NY Chapter, Rochester Office 	www.msupstateny.org	 Provides education, consultations, advocacy, health and wellness, recreation and coaching strategies for disease and life management. 
 National Parkinson Foundation, New York 	www.parkinson.org	 Provides research, clinical studies, patient and caregiver services, public and professional education, literature, manuals, physician referrals and assists support groups worldwide.  
 National Psoriasis Foundation, New York 	www.psoriasis.org	 We lead the fight to cure psoriasis and psoriasis arthritis, advocate for access to care and treatment, and train healthcare professionals, families and the public. 
 National Spinal Cord Injury Association, New York 	www.spinalcord.org	 To encourage basic scientific research, proper rehabilitation and medical care for persons with spinal cord injuries and to provide related education. 
 National Spinal Cord Injury Association, New York, Greater NY Chapter 	www.nycspinal.org	 To encourage basic scientific research, proper rehabilitation and medical care for persons with spinal cord injuries and to provide related education. 
 National Stroke Association, New York 	www.stroke.org	 Dedicated to stroke prevention, improving the diagnosis and treatment of stroke, maximizing the recovery of stroke survivors, and advocating on behalf of the stroke community.  
 Pancreatic Cancer Action Network, New York 	www.pancan.org	 PanCAN is the only national leader to fight pancreatic cancer in a comprehensive way - through research, patient support and advocacy for a cure. 
 Parkinson's Disease Foundation, New York 	www.pdf.org	 Extensive research seeking the cause and cure of Parkinson's disease and other related disorders.  Information, counseling, advocacy, referrals, patient and professional education services are provided.  
Planned Parenthood Federation of America- International	www.plannedparenthood.org	 Supports sexual and reproductive health programs in the developing world, in partnership with local nongovernmental organizations, that promote women?s reproductive health, freedom and dignity.  
 Prevent Blindness America, New York (Prevent Blindness Tri-State) 	www.preventblindnesstristate.org	 Only 501(c)(3) non-profit agency totally dedicated to preventing blindness and preserving sight in the Tri-state region of New York, New Jersey and Connecticut. 
Project HOPE	www.projecthope.org	Currently provides sustainable improvements in health through education and humanitarian assistance in more than 35 countries with 93 percent of revenues dedicated to programs.
Queens Centers for Progress formerly United Cerebral Palsy of Queens	www.queenscp.org	 Provides therapy, education, job training and placement, day programs, service coordination and housing for people with developmental disabilities. 
 Research to Prevent Blindness, New York 	www.rpbusa.org	 World's leading voluntary organization supporting scientific research into the causes, cure and prevention of all blinding diseases.  
Rockland Council on Alcoholism - New York	www.rcadd.org	Provides assessments/referrals for chemically dependent persons & families; family education; counseling; planned family interventions; and collaborates to enhance prevention/treatment services throughout the county.
Rotary Foundation of Rotary International	www.rotary.org	 Our Polio Plus program provides vaccines and mobilizes communities, volunteers and resources in support of international efforts to immunize children and eradicate polio worldwide. 
 S.L.E. Lupus Foundation, Inc. - New York 	www.lupusny.org	 Providing direct patient and family support services, education and research funding to the lupus community since 1970. 
 Sickle Cell Disease Association of America, New York 	www.sicklecelldisease.org	 Only national voluntary organization dedicated to addressing issues created by this inherited condition. SCDAA provides public information, professional education, advocacy, and supports research.  
 SIDS Alliance Long Island Affiliate, New York 	www.sidsalliance.org	 SIDS mysteriously kills almost 2,500 babies annually. Donations provide: education for caregivers to reduce SIDS risk; bereavement services for SIDS families; funds research into causes.  
 Spina Bifida Association of New York, Albany/Capital District Chapter 	www.sbaalbany.org	 Provides support, information and education to families affected by Spina Bifida and prevention education to women of childbearing age. 
 
 Spina Bifida Association of New York, Western NY 	www.sbawny.org	SBAWNY offers funding to dues paying members for enrichment activities and similar programs to increase the overall independence and development of the individual.
 Spina Bifida Resource Network, Tri State Region - New York 	www.thesbrn.org	 Provides family support, I & R, newsletters, continence training and advocacy to families and individuals.  SBRN educates the public regarding birth defect prevention. 
 St. Jude Children's Research Hospital, New York 	www.stjude.org	Researches and treats pediatric catastrophic diseases - primarily childhood cancer.  St Jude covers all costs not paid by insurance.  Research findings are shared worldwide.
 St. Jude Children's Research Hospital, New York, Northeast Association 	www.stjude.org	 The world's premier center for research and treatment of potentially fatal childhood diseases, including cancer/certain blood, genetic/immunodeficiency disorders. 
 St. Jude Children's Research Hospital, New York, Rochester Office 	www.stjude.org	 The world's premier center for research and treatment of potentially fatal childhood diseases, including cancer/certain blood, genetic/immunodeficiency disorders. 
 Sudden Infant Death Syndrome Alliance, Inc., AKA First Candle / SIDS Alliance, New York 	www.sidsalliance.org	 SIDS mysteriously kills almost 2,500 babies annually. Donations provide: education for caregivers to reduce SIDS risk; bereavement services for SIDS families; funds research into causes.  
 Susan G. Komen for the Cure, New York 	www.komen.org	Imagine life without breast cancer.  We can make it a reality by racing for the cures and funding life-saving research and community health programs.
 Susan G. Komen for the Cure, New York, CNY Affiliate 	www.komencny.org	Imagine life without breast cancer.  We can make it a reality by racing for the cures and funding life-saving research and community health programs.
 Susan G. Komen for the Cure, New York, GNY Affiliate 	www.komennyc.org	Imagine life without breast cancer.  We can make it a reality by racing for the cures and funding life-saving research and community health programs.
 Susan G. Komen for the Cure, New York, NENY Affiliate 	www.raceforthecure.com	Imagine life without breast cancer.  We can make it a reality by racing for the cures and funding life-saving research and community health programs.
 Susan G. Komen for the Cure, New York, Twin Tiers Region Affiliate 	www.komen.org	Imagine life without breast cancer.  We can make it a reality by racing for the cures and funding life-saving research and community health programs.
 Susan G. Komen for the Cure, New York, WNY Affiliate 	www.komenwny.org	Imagine life without breast cancer.  We can make it a reality by racing for the cures and funding life-saving research and community health programs.
 The Alzheimer's Associantion, New york City chapter 	http://www.alz.org/nyc/	 The Alzheimer's Association is the leading, global voluntary health organization in Alzheimer's care and support, and the largest private, nonprofit funder of Alzheimer's research. 
The Eye-Bank for Sight Restoration	http://www.eyedonation.org/	 The Eye-Bank for Sight Restoration, the world's first eye bank, is devoted to restoring sight through eye donations and cornea transplants, as well as providing ocular tissue for research into treatment and cures for other eye diseases. Public awareness about the need for eye donations is a key component of our efforts to restore sight to thousands of men, women and children each year. 
The Trevor Project	http://www.thetrevorproject.org/	 The Trevor Project is the leading national organization providing crisis intervention and suicide prevention services to lesbian, gay, bisexual, transgender and questioning (LGBTQ) youth. 
To Life - New York	www.tolife.org	 Breast cancer education and support: education forums, wellness activities, support groups, mentoring for newly diagnosed women and boutique services with wig, bras and prostheses fittings. 
 Tourette Syndrome Association, New York 	www.tsa-usa.org	 The association is a national voluntary non-profit organization dedicated to the treatment, control and cure for Tourette Syndrome through education, research and service.   
 Tourette Syndrome Association, New York, NY City 	www.tsa-nyc.org	 To provide advocacy, support services, greater awareness, opportunities and greater awareness of and/or for people with Tourette syndrome and their families. 
 United Cerebral Palsy Associations, New York 	www.ucp.org	 The national organization serves people with disabilities through the development of programs, information and referral, legislative advocacy, technology initiatives, research and direct services.  
 United Cerebral Palsy of New York City, Inc. 	www.ucpnyc.org	 UCP/NYC provides the highest quality services in healthcare, education, employment, housing and technology resources that support people with disabilities in leading independent and productive lives. 
